cnnaffinity,cnnaffinityIC50,smiles,origin,ref_pdb,butcher #BAD,butcher #GOOD,butcher #protein clash,butcher #solvent space,butcher #pocket,butcher #P1,butcher #P2,butcher #P1',butcher #P2',butcher #P3,butcher #P4,butcher #P5,butcher #P6,ref_mols,ID,ROMol,Kate_Good
-5.92659,1184.158945162197 nanomolar,NC(=O)C1=CC=C(Br)C(OC2CCN(C3CCCCC3)C2=O)=C1,x0528_elab_p2_p3.sdf,x0528,8,15,8,0,15,10,3,2,0,0,0,0,0,"A71x0528a,A71x0556a",Z2721901805,<rdkit.Chem.rdchem.Mol object at 0x169415cf0>,TRUE
-5.84683,1422.8856517257375 nanomolar,COC1=C(Br)C=C(Br)C=C1CNC1=CC=C(OC2CCN(C)C2=O)C=C1C,x0528_elab_p2_p3.sdf,x0528,13,14,5,8,14,10,1,3,0,0,0,0,0,"A71x0528a,A71x0556a",Z2748966443,<rdkit.Chem.rdchem.Mol object at 0x169415ba0>,FALSE
-5.81329,1537.1278808861305 nanomolar,C=CCN1CCC(OC2=CC(C(F)(F)F)=CC([N+](=O)[O-])=C2)C1=O,x0528_elab_p2_p3.sdf,x0528,7,16,7,0,16,12,0,4,0,0,0,0,0,"A71x0528a,A71x0556a",Z3514530609,<rdkit.Chem.rdchem.Mol object at 0x1693ccb30>,FALSE
-5.64512,2264.0186496880406 nanomolar,NC(=O)C1=CC(Br)=CC(OC2CCN(C3CCOCC3)C2=O)=C1,x0528_elab_p2_p3.sdf,x0528,8,15,8,0,15,9,3,3,0,0,0,0,0,"A71x0528a,A71x0556a",Z5026145405,<rdkit.Chem.rdchem.Mol object at 0x1693cc820>,TRUE
-5.6259,2366.464533352565 nanomolar,O=C1CCCC2=CC(OC3CCN(C4CCCCC4)C3=O)=CC=C2N1,x0528_elab_p2_p3.sdf,x0528,11,14,7,4,14,10,2,2,0,0,0,0,0,"A71x0528a,A71x0556a",Z2721846455,<rdkit.Chem.rdchem.Mol object at 0x1693cc6d0>,FALSE
-5.62323,2381.058139926493 nanomolar,O=C1C(OC2=CC(C(F)(F)F)=CC(CO)=C2)CCN1C1CCCCC1,x0528_elab_p2_p3.sdf,x0528,8,17,8,0,17,12,3,2,0,0,0,0,0,"A71x0528a,A71x0556a",Z2721907542,<rdkit.Chem.rdchem.Mol object at 0x1693cc970>,FALSE
-5.61471,2428.2310043101143 nanomolar,NC(=O)C1=CC=C(Br)C(OC2CCN(C3CCOCC3)C2=O)=C1,x0528_elab_p2_p3.sdf,x0528,8,15,8,0,15,9,3,3,0,0,0,0,0,"A71x0528a,A71x0556a",Z2442798079,<rdkit.Chem.rdchem.Mol object at 0x1693cc900>,FALSE
-5.60369,2490.634502270618 nanomolar,C=CCN1CCC(OC2=C(C#N)C(C(F)(F)F)=CC(Br)=C2)C1=O,x0528_elab_p2_p3.sdf,x0528,5,18,4,1,18,14,2,2,0,0,0,0,0,"A71x0528a,A71x0556a",PV-004947541019,<rdkit.Chem.rdchem.Mol object at 0x1693cc190>,FALSE
-5.58333,2610.1772494564025 nanomolar,C=CCN1CCC(OC2=CC(C=CC(=O)OC)=CC=C2OC)C1=O,x0528_elab_p2_p3.sdf,x0528,11,13,6,5,13,9,1,3,0,0,0,0,0,"A71x0528a,A71x0556a",Z1983254936,<rdkit.Chem.rdchem.Mol object at 0x1693cc4a0>,FALSE
-5.56344,2732.498926479996 nanomolar,O=C1C(OC2=CC(C(F)(F)F)=CC(CO)=C2)CCN1C1CCOCC1,x0528_elab_p2_p3.sdf,x0528,7,18,7,0,18,12,2,4,0,0,0,0,0,"A71x0528a,A71x0556a",Z2614219026,<rdkit.Chem.rdchem.Mol object at 0x1693cc3c0>,FALSE
