cnnaffinity,cnnaffinityIC50,smiles,origin,ref_pdb,butcher #BAD,butcher #GOOD,butcher #protein clash,butcher #solvent space,butcher #pocket,butcher #P1,butcher #P2,butcher #P1',butcher #P2',butcher #P3,butcher #P4,butcher #P5,butcher #P6,ref_mols,ID,ROMol,Kate_Good
-5.62062,2395.4107818365896 nanomolar,CCCCS(=O)(=O)N1CCC(C(=O)OCC(C)C2CCC2)CC1,x0875_elab.sdf,x0875,9,14,8,1,14,7,1,1,5,0,0,0,0,A71x0875a,Z2374414833,<rdkit.Chem.rdchem.Mol object at 0x1694b5d60>,FALSE
-5.61559,2423.315722356725 nanomolar,COC(=O)C1CCN(S(=O)(=O)N=S2(=O)CCCC2)C2(CCC2)C1,x0875_elab.sdf,x0875,8,15,8,0,15,9,3,0,3,0,0,0,0,A71x0875a,Z3821337814,<rdkit.Chem.rdchem.Mol object at 0x169400f20>,TRUE
-5.54239,2868.2037547402183 nanomolar,CCS(=O)(=O)N1CCC(C(=O)OC2=C(C)C=C(Br)C=C2Cl)CC1,x0875_elab.sdf,x0875,10,13,7,3,13,4,0,2,7,0,0,0,0,A71x0875a,Z95687357,<rdkit.Chem.rdchem.Mol object at 0x169400eb0>,FALSE
-5.50184,3148.9082010824045 nanomolar,O=C(O)C1CCN(S(=O)(=O)N2CCC(C3CCCCC3)C2)CC1,x0875_elab.sdf,x0875,13,10,7,6,10,8,1,0,1,0,0,0,0,A71x0875a,Z2569547426,<rdkit.Chem.rdchem.Mol object at 0x169400cf0>,FALSE
-5.4945,3202.5800946290256 nanomolar,O=C(O)C1CCN(S(=O)(=O)C2=CC=CC3=CN=CC(Br)=C23)CC1,x0875_elab.sdf,x0875,8,15,8,0,15,10,1,1,2,1,0,0,0,A71x0875a,Z2361552376,<rdkit.Chem.rdchem.Mol object at 0x169400dd0>,TRUE
-5.48876,3245.1890357971693 nanomolar,C=CCCC1(C(=O)OC)CCN(S(=O)(=O)C2CCCC2C)CC1,x0875_elab.sdf,x0875,8,15,8,0,15,8,3,1,3,0,0,0,0,A71x0875a,Z3642591692,<rdkit.Chem.rdchem.Mol object at 0x169400d60>,FALSE
-5.48514,3272.3518971256503 nanomolar,C=CCC1(C(=O)OCC)CCN(S(=O)(=O)C2CC3(CC3)C2)CC1,x0875_elab.sdf,x0875,6,17,6,0,17,9,3,2,3,0,0,0,0,A71x0875a,Z3620091709,<rdkit.Chem.rdchem.Mol object at 0x1694f5740>,FALSE
-5.47804,3326.2891562780455 nanomolar,CCOC(=O)C1CCN(S(=O)(=O)NC2=CN=CC(Cl)=C2C)CC1,x0875_elab.sdf,x0875,10,13,8,2,13,8,1,0,2,2,0,0,0,A71x0875a,Z2275425425,<rdkit.Chem.rdchem.Mol object at 0x1694f56d0>,TRUE
-5.47047,3384.776522666624 nanomolar,CCOC(=O)C1CCN(S(=O)(=O)NCC2=C(C)N=C(C)S2)CC1,x0875_elab.sdf,x0875,8,15,8,0,15,7,0,1,3,3,0,1,0,A71x0875a,Z1271294956,<rdkit.Chem.rdchem.Mol object at 0x1694f5660>,FALSE
-5.44944,3552.711976217914 nanomolar,COC(=O)C1CCN(S(=O)(=O)NC(=O)CCCC2CCC2)CC1,x0875_elab.sdf,x0875,13,10,8,5,10,8,1,0,1,0,0,0,0,A71x0875a,Z3356881591,<rdkit.Chem.rdchem.Mol object at 0x1694f5580>,FALSE
-5.43321,3687.9922521240414 nanomolar,C=CCC1(C(=O)OCC)CCN(S(=O)(=O)C2CCC(C)C2)CC1,x0875_elab.sdf,x0875,7,16,6,1,16,9,3,2,2,0,0,0,0,A71x0875a,Z3620091744,<rdkit.Chem.rdchem.Mol object at 0x1694f55f0>,FALSE
-5.43168,3701.0077967063794 nanomolar,CCOC(=O)C1CCN(S(=O)(=O)NC(=O)C2=CSC=C2C)CC1,x0875_elab.sdf,x0875,9,14,7,2,14,9,2,1,1,1,0,0,0,A71x0875a,Z2875275486,<rdkit.Chem.rdchem.Mol object at 0x1694f5510>,TRUE
-5.42334,3772.767132886758 nanomolar,CCOC(=O)C1(C)CCN(S(=O)(=O)CCC2CCCCC2)CC1,x0875_elab.sdf,x0875,12,11,8,4,11,7,1,0,3,0,0,0,0,A71x0875a,Z2277202961,<rdkit.Chem.rdchem.Mol object at 0x1694f54a0>,FALSE
-5.41862,3813.9939517126845 nanomolar,COC(=O)C1CCN(S(=O)(=O)NC(=O)C2=C(C)C=C(F)S2)CC1,x0875_elab.sdf,x0875,10,13,7,3,13,9,2,0,1,1,0,0,0,A71x0875a,Z3503666910,<rdkit.Chem.rdchem.Mol object at 0x1694f5430>,FALSE
-5.41692,3828.952687360295 nanomolar,CCS(=O)(=O)N1CCC(C(=O)OC2=C(Cl)C=C(Cl)C=C2Br)CC1,x0875_elab.sdf,x0875,9,14,8,1,14,5,1,1,7,0,0,0,0,A71x0875a,Z2156020216,<rdkit.Chem.rdchem.Mol object at 0x1694f53c0>,FALSE
-5.41464,3849.1071412289684 nanomolar,C#CCC(CNS(=O)(=O)N1CCC(C(=O)OCC)CC1)C1CC1,x0875_elab.sdf,x0875,10,13,7,3,13,7,1,1,3,1,0,0,0,A71x0875a,Z4457587984,<rdkit.Chem.rdchem.Mol object at 0x1694f5350>,FALSE
-5.41448,3850.5254659539537 nanomolar,CCOC(=O)C1CCN(S(=O)(=O)N2CCCC2C(C)CC)CC1,x0875_elab.sdf,x0875,9,14,8,1,14,11,1,0,2,0,0,0,0,A71x0875a,Z3822773014,<rdkit.Chem.rdchem.Mol object at 0x1694f5270>,FALSE
-5.4133,3861.0017636183625 nanomolar,CCOC(=O)C1CCN(S(=O)(=O)NC(CSC)C(C)(C)C)CC1,x0875_elab.sdf,x0875,9,14,8,1,14,8,1,0,4,1,0,0,0,A71x0875a,Z3622989409,<rdkit.Chem.rdchem.Mol object at 0x1694f5200>,FALSE
-5.40971,3893.050165190842 nanomolar,CC(C)(C)CCC1CCN(S(=O)(=O)N2CCC(C(=O)O)CC2)C1,x0875_elab.sdf,x0875,12,11,7,5,11,9,1,0,1,0,0,0,0,A71x0875a,Z3345852452,<rdkit.Chem.rdchem.Mol object at 0x1694f5120>,FALSE
-5.40509,3934.685274774329 nanomolar,CCOC(=O)C1CCN(S(=O)(=O)NCCC#CC(C)(C)C)CC1,x0875_elab.sdf,x0875,12,11,8,4,11,8,1,0,2,0,0,0,0,A71x0875a,Z5047560890,<rdkit.Chem.rdchem.Mol object at 0x1694f5190>,FALSE
